"影城名称","银幕宽度（米)","银幕高度（米)","银幕面积（平方米)","座位数（个)"
"江阴幸福蓝海国际影城（南门IMAX店)","22.160 ","11.970 ","265.2552","325"
"镇江星轶IMAX影城（丁卯吾悦广场旗舰店）","20.020 ","10.320 ","206.6064","324"
"镇江万达影城（万达广场店）","16.870
16.840","8.722
8.880","147.1401
149.5392","244"
"丹阳幸福蓝海国际影城（八佰伴店）","25.800 ","13.890 ","358.3620","434"
"徐州万达影城（铜山万达广场店）","21.850 ","11.650 ","254.5525","372"
"徐州万达影城（云龙万达广场店）","21.500
21.980","10.800
11.470","232.2000
252.1106","350"
"南通幸福蓝海国际影城（圆融IMAX店）","   ","  ","","436"
"南通万达影城（港闸万达广场店）","  ","  ","","390"
"海门幸福蓝海影城IMAX","","","","429"
"南通万达影城（通州万达广场店） ","19.800 ","11.000 ","217.8000","370"
"南通星轶IMAX影城（如皋吾悦广场旗舰店）","21.500 ","11.300 ","242.9500","318"
"南通CGV影城（万象城店)","21.280 ","11.280 ","240.0384","284"
"南通金逸影城（大有境IMAX店)","23.410 ","12.870 ","301.2867","317"
"盐城CGV影城（中南城店)","  ","  ","  ","357"
"盐城万达影城（万达广场店）","","  ","  ","372"
"盐城幸福蓝海国际影城（悦达889IMAX店）","24.590 ","13.600 ","334.4240","380"
"东台幸福蓝海国际影城（中南IMAX店）","22.230 ","12.130 ","269.6499","345"
"扬州幸福蓝海国际影城（IMAX店）","24.170 ","12.550 ","303.3335","399"
"扬州星轶IMAX影城（邗江吾悦广场旗舰店）","26.090 ","13.880 ","362.1292","362"
"扬州幸福蓝海国际影城（江都佳源IMAX店)","25.100 ","13.030 ","327.0530","485"
"扬州横店电影城（IMAXSM城市广场店）","21.370 ","11.600 ","247.8920","376"
"连云港万达影城（万达广场店）","20.070 ","10.630 ","213.3441","388"
"宿迁幸福蓝海国际影城（中央IMAX店）","24.460 ","12.780 ","312.5988","343"
"沭阳幸福蓝海国际影城（中央IMAX店)","21.980 ","11.490 ","252.5502","295"
"沭阳万达影城（万达广场店)","","","","328"
"淮安万达影城（玖珑汇广场店）","   ","  ","   ","311"
"淮安幸福蓝海影城（IMAX激光店）","20.220 ","10.320 ","208.6704","222"
"淮安万达影城（水渡口万达广场店）（IMAX激光）","18.620
19.910","10.260
10.062","191.0412
200.3344","291
265"
"泰州万达影城（万达广场店）","21.380 ","11.123 ","237.8097","319"
"泰州星轶影城（泰兴吾悦广场IMAX店）","  ","  ","","366"
"泰州金逸影城（姜堰IMAX店) ","","","","264"
"泰州幸福蓝海国际影城（茂业IMAX激光店）","22.850 ","11.860 ","271.0010","358"
"靖江CGV影城（印象城店）","20.060 ","10.160 ","203.8096","275"
"东莞东莞市科學技術博物館","23.000 ","","","300"
"东莞万达影城（华南MALL—IMAXGT激光店）","27.600
32.060
31.160
28.600
27.768","21.000
19.510
19.510
20.730
20.295（地板到天花板高度25.250）","579.6000
625.4906
607.9316
592.8780
563.5515","503"
"东莞万达影城（长安万达广场店）","22.900 
24.850","12.500 
12.470","286.2500 
309.8795","407"
"东莞万达影城（东城万达广场店）","19.300 ","10.900 ","210.3700","322"
"东莞万达影城（厚街万达广场店）","22.300 ","12.700 ","283.2100","341"
"东莞万达影城（虎门万达广场店）","20.700 ","11.600 ","240.1200","354"
"东莞CGV影城（国贸城店）","21.490
21.927","12.280
11.249","263.8972
246.6570","366"
"东莞万润影城（寮步IMAX乐荟城）
原东莞越界思哲影城","20.500 ","11.400 ","233.7000","318"
"东莞寰象影城（旗云广场IMAX店）","21.110
19.476","11.460
10.196","241.9206
198.5772","439"
"广州万达影城（白云万达广场店）","22.810
21.498","11.728
11.576","267.5156
248.8608","388"
"广州博纳UA IMAX花城汇电影城
原广州UA花城汇影城","21.840
21.063","11.495
10.445","251.0740
220.0030","290"
"广州万达影城（增城万达广场店）","20.890
19.593","10.800
10.347","225.6120
202.7287","314"
"广州万达影城（萝岗万达广场店）","22.050 ","11.564 ","254.9862","379"
"广州万达影城（南沙万达广场店）","20.891
21.076","11.266
11.092","235.3580
233.7749","387"
"广州飞扬影城（正佳IMAX店）","20.310 ","10.690 ","217.1139","411"
"广州百丽宫影城（IMAX猎德igc店）","20.168
20.233","10.615
10.590","214.0880
214.2674","394"
"广州金逸影城（太阳城IMAX店）","15.280
14.273","7.800
7.417","119.1840
105.8628","303"
"广州金逸影城（光美沙湾IMAX店）","22.720 ","12.000 ","272.6400","428"
"广州万达影城（万胜围店）","23.770
22.315","12.500
11.912","297.1250
265.8162","427"
"广州卢米埃影城（合生店）","19.575 ","10.503 ","205.5962","248"
"广州金逸影城（光美大石IMAX店）","22.160
21.114","11.700
11.082","259.2720
233.5850","394"
"广州万达影城（亚运城广场店）
商业体装修，暂停营业","22.280
20.915","11.630
11.007","259.1164
230.2114","421"
"广州飞扬影城（北京路IMAX店）","18.755 ","9.870 ","185.1310","376"
"广州万达影城（新塘万达广场店）","21.920
20.590
20.508","11.440
11.340
10.193","250.7648
233.4906
209.0380","365"
"广州金逸影城（白云万象汇IMAX店）
原金逸影城（百信西区IMAX店）","21.860
20.740","11.350
10.944","248.1110
226.9785","417"
"广州金逸·永汉影城（荔胜广百广场IMAX店）","19.700
18.410","10.260
10.037","202.1220
184.7811","240"
"广州万达影城（天河智慧城广百广场店）","22.740
21.007","11.920
11.385","271.0608
239.1646","251"
"广州美亚影城（云门店）","23.550
21.627","12.310
11.727","289.9005
253.6200","349"
"广州万达影城（花都融創茂店）","20.440
18.970","10.560
9.984","215.8464
189.3964","312"
"广州飞扬影城（IMAX激光乐峰店）","15.500
15.827","8.500
7.832","131.7500
123.9570","372"
"广州中影南方影城（IMAX科韵路店）","20.398 ","10.375 ","217.7490","422"
"广州万达影城（南岗万达广场店）","19.840
18.882","10.580
9.975","209.9072
188.3479","391"
"广州金逸影城（光美三溪IMAX店）","19.650 ","9.740 ","191.3910","271"
"广州CGV影城（悦汇城店）","17.480
15.599","8.980
8.186","156.9704
127.6934","150"
"广州金逸影城（海珠城激光IMAX店）","20.540
19.211","10.440
9.955","214.4376
191.2455","327"
"广州寰映影城（天河环贸店）","18.620 ","9.700 ","180.6140","210"
"广州寰映影城（金茂广场店）","17.620 ","9.100 ","160.3420","220"
"广州金逸影城（三溪美林天地IMAX店）","21.860
21.971
21.244","11.920
11.267
11.187","260.5712
247.5472
237.6566","395"
"广州CGV影城（永旺店）","18.920 ","9.800 ","185.4160","234"
"广州金逸影城（从化远达汇聚IMAX店）","21.070
20.578","10.955
10.830 ","230.8218
222.8597","395"
"广州横店电影城（荔湾健康港店）","21.070
19.999","10.955
10.600","230.8218
211.9800","351"
"广州万达影城（番禺万达广场店）","23.660
22.430
21.807","11.900
12.050
11.130","281.5540
270.2851
242.7119","360"
"深圳百川影城IMAX（新沙天虹店)","17.363 ","9.243 ","160.4862","292"
"深圳卢米埃影城（汇港店）","22.780 ","11.860 ","270.1708","331"
"深圳CGV影城（壹方城店）","20.486 ","10.909 ","223.4818","324"
"深圳百老汇电影中心（IMAX万象天地店）","23.465 ","12.305 ","288.7368","398"
"深圳中影晴瑞影城IMAX","20.142 ","11.086 ","223.2942","380"
"深圳万象影城（布吉万象汇IMAX店）","22.740
19.858","11.700
10.604","266.0580
210.5742","325"
"深圳CINESKY新天影院IMAX 壹方天地A区","22.478 ","11.677 ","262.4756","583"
"深圳星河寰宇IMAX影城（星河WORLD店） ","18.310 ","9.650 ","176.6915","293"
"深圳万达影城（盐田壹海城店）","20.120 ","10.420 ","209.6504","269"
"深圳CGV影城（卓悦中心店)","22.850
20.800","11.760
？","268.7160
？","368"
"深圳万象影城（龙岗天安数码城IMAX激光店) ","20.438
20.367","11.084
11.004","226.5347
224.1184","314"
"深圳英皇电影城（平安金融中心店) ","20.800
19.490","11.000
10.650","228.8000
207.5685","277"
"深圳万达影城（宝安勤诚达店）","20.440
18.690","10.620
10.144","217.0728
189.5913","286"
"深圳金逸影城（宝安大仟里IMAX激光店）","22.740
20.972","11.800
11.222","268.3320
235.3477","341"
"深圳CGV影城（红山6979店)","22.240
20.009","11.572
10.491","257.3612
209.9144","308"
"深圳万达影城（龙岗万达广场店）","18.640
18.634","10.100
9.973","188.2640
185.8368","276"
"深圳CINESKY新天影院IMAX  壹方天地C区（壹方城)","23.710
21.787","12.330
11.907","292.3443
259.4178","424"
"深圳CINESKY新天影院（万科广场IMAX店）","18.939 ","10.351 ","196.0376","315"
"深圳万达影城（光明万达广场店）","17.920
16.581","9.270
8.426","166.1184
139.7115","269"
